Geneid	Chr	Start	End	Strand	Length	dump/SRR6754132_subread.bam	dump/SRR6754133_subread.bam	dump/SRR6754134_subread.bam	dump/SRR6754135_subread.bam	dump/SRR6754136_subread.bam	dump/SRR6754137_subread.bam	dump/SRR6754138_subread.bam	dump/SRR6754139_subread.bam	dump/SRR6754140_subread.bam
4933401J01Rik	chr1	3073253	3074322	+	1070	0	0	0	0	0	0	0	0	0
Gm26206	chr1	3102016	3102125	+	110	0	0	1	0	0	0	0	0	0
Xkr4	chr1	3205901	3671498	-	465598	287	1285	456	104	109	112	145	123	58
Gm18956	chr1	3252757	3253236	+	480	0	11	0	0	0	0	0	0	0
Gm37180	chr1	3365731	3368549	-	2819	12	2	14	0	0	0	0	0	0
Gm37363	chr1	3375556	3377788	-	2233	2	20	0	0	0	5	0	0	0
Gm37686	chr1	3464977	3467285	-	2309	0	11	1	0	0	0	0	0	0
Gm1992	chr1	3466587	3513553	+	46967	11	51	32	0	0	0	11	5	0
Gm37329	chr1	3512451	3514507	-	2057	6	3	0	0	0	0	3	0	0
Gm7341	chr1	3531795	3532720	+	926	2	1	3	1	1	3	0	1	0
Gm38148	chr1	3592892	3595903	-	3012	0	37	7	0	0	0	0	0	0
Gm19938	chr1	3647309	3658904	-	11596	22	78	41	0	0	0	10	0	0
Gm10568	chr1	3680155	3681788	+	1634	0	0	0	0	0	0	0	0	0
Gm38385	chr1	3752010	3754360	+	2351	1	13	0	0	0	0	0	0	0
Gm27396	chr1	3783876	3783933	-	58	0	0	0	0	0	0	0	0	0
Gm37381	chr1	3905739	3986215	-	80477	12	138	38	0	0	1	1	38	0
Rp1	chr1;chr1	3999557;4292981	4409241;4409187	-;-	409685	104	1026	166	12	11	11	97	58	18
Gm6101	chr1	4256234	4260519	-	4286	5	20	5	10	8	7	1	3	5
Gm37483	chr1	4363346	4364829	-	1484	0	0	0	0	0	0	0	0	0
Sox17	chr1	4490931	4497354	-	6424	222	269	165	2	1	1	0	23	0
Gm37587	chr1	4496551	4499558	+	3008	5	0	0	0	0	0	1	0	0
Gm7357	chr1	4522905	4526737	+	3833	5	10	9	16	15	17	10	14	11
Gm22307	chr1	4529017	4529123	+	107	2	1	5	3	2	1	3	0	6
Gm38076	chr1	4534837	4535286	-	450	5	0	0	0	0	0	0	0	0
Gm37323	chr1	4583129	4586252	-	3124	0	1	0	0	0	0	0	7	0
Gm7369	chr1	4610471	4611406	+	936	0	2	2	1	2	0	1	0	0
Gm6085	chr1	4687934	4689403	-	1470	517	457	407	613	497	489	306	287	264
Gm6119	chr1	4692219	4693424	-	1206	2	4	1	1	4	0	3	0	3
Gm25493	chr1	4723277	4723379	-	103	0	0	0	0	0	0	0	0	0
Gm2053	chr1	4735046	4735676	-	631	1	0	1	7	9	4	0	0	2
Gm6123	chr1	4771131	4772199	+	1069	1059	848	851	2583	2462	2572	4457	3513	4984
Mrpl15	chr1	4773206	4785739	-	12534	530	626	770	7284	6000	5522	3948	3541	4233
Gm37144	chr1	4778063	4779212	-	1150	0	2	17	1	1	5	1	3	7
Lypla1	chr1	4807788	4848410	+	40623	1141	1623	1617	2339	5096	5501	4065	3063	4574
Gm37988	chr1	4807892	4886770	+	78879	2042	2751	2346	7304	9941	9961	5013	3905	5720
Tcea1	chr1	4857814	4897909	+	40096	1516	1725	1276	6138	6743	6590	1993	1802	1954
Gm6104	chr1	4880049	4880651	-	603	172	69	76	3407	3106	2849	215	200	589
Gm37277	chr1	4905751	4906861	-	1111	8	34	0	1	0	5	0	1	2
Rgs20	chr1	4909576	5070285	-	160710	82	312	137	20	19	5	16	75	101
Gm17100	chr1	4927028	4927299	-	272	0	0	0	1	0	0	0	0	0
Gm37079	chr1	4938576	4940710	-	2135	4	16	8	0	10	0	0	0	14
Gm16041	chr1	4970857	4976820	+	5964	0	3	6	0	0	0	0	0	0
